Harvest a Field
# first street, first avenue, num streets, num avenues showing 
0 0 35 35
  becker.robots.Wall 20 2 Direction.NORTH
  becker.robots.Wall 20 3 Direction.NORTH
  becker.robots.Wall 20 4 Direction.NORTH
 
  becker.robots.Wall 20 6 Direction.NORTH
  becker.robots.Wall 20 7 Direction.NORTH
  becker.robots.Wall 20 8 Direction.NORTH
  becker.robots.Wall 20 9 Direction.NORTH
  becker.robots.Wall 20 10 Direction.NORTH
  becker.robots.Wall 20 11 Direction.NORTH
  becker.robots.Wall 20 12 Direction.NORTH
  becker.robots.Wall 20 13 Direction.NORTH
  becker.robots.Wall 20 14 Direction.NORTH 
 
  becker.robots.Wall 20 16 Direction.NORTH
  becker.robots.Wall 20 17 Direction.NORTH
  becker.robots.Wall 20 18 Direction.NORTH
  becker.robots.Wall 20 19 Direction.NORTH
  becker.robots.Wall 20 20 Direction.NORTH
  becker.robots.Wall 20 21 Direction.NORTH
  becker.robots.Wall 20 22 Direction.NORTH
  becker.robots.Wall 20 23 Direction.NORTH
  becker.robots.Wall 20 24 Direction.NORTH
  
  becker.robots.Wall 20 26 Direction.NORTH
  becker.robots.Wall 20 27 Direction.NORTH
  becker.robots.Wall 20 28 Direction.NORTH
  becker.robots.Wall 20 29 Direction.NORTH
becker.robots.Wall 20 30 Direction.NORTH

becker.robots.Wall 6 35 Direction.NORTH
  becker.robots.Wall 6 35 Direction.WEST
  becker.robots.Wall 6 35 Direction.SOUTH
becker.robots.Wall 6 35 Direction.EAST











  
